Championship title,Team A,Team B,Date / Time,Section,Status,Result
دوري أبطال إفريقيا,الأهلي,يانج افريكانز,03/1/2024 - 18:00,الجولة السادسة,انتهت,1 - 0
دوري أبطال إفريقيا,شباب بلوزداد,ميدياما,03/1/2024 - 18:00,الجولة السادسة,انتهت,3 - 0
الدوري المصري,فاركو,البنك الاهلي,03/1/2024 - 16:00,الأسبوع السادس عشر,انتهت,2 - 1
الدوري المصري,سيراميكا كليوباترا,المقاولون العرب,03/1/2024 - 19:00,الأسبوع الخامس عشر,انتهت,2 - 0
الدوري الإسباني,سيلتا فيجو,الميريا,03/1/2024 - 22:00,الأسبوع السابع والعشرون,انتهت,1 - 0
الدوري السعودي,أبها,الطــائي,03/1/2024 - 16:00,الأسبوع الثاني والعشرون,انتهت,2 - 0
الدوري السعودي,الأخدود,الرياض,03/1/2024 - 16:00,الأسبوع الثاني والعشرون,انتهت,1 - 2
الدوري السعودي,الهلال,الاتحاد,03/1/2024 - 19:00,الأسبوع الثاني والعشرون,انتهت,3 - 1
الدوري الإيطالي,لاتسيو,ميلان,03/1/2024 - 21:45,الأسبوع السابع والعشرون,انتهت,0 - 1
الدوري الألماني,فرايبورج,بايرن ميونيخ,03/1/2024 - 21:30,الأسبوع الرابع والعشرون,انتهت,2 - 2
الدوري الفرنسي,موناكو,باريس سان جيرمان,03/1/2024 - 22:00,الأسبوع الرابع والعشرون,انتهت,0 - 0
الدوري المغربي,شباب المحمدية,الفتح الرباطي,03/1/2024 - 19:00,الأسبوع الثاني والعشرون,انتهت,0 - 1
الدوري المغربي,الاتحاد التوركي,يوسفية برشيد,03/1/2024 - 21:00,الأسبوع الثاني والعشرون,انتهت,3 - 2
دوري القسم الثاني-أ,لافيينا أف سي,بروكسي,03/1/2024 - 15:30,الجولة الرابعة,انتهت,2 - 0
دوري القسم الثاني-أ,السكة الحديد,غزل المحلة,03/1/2024 - 15:30,الجولة الرابعة,انتهت,1 - 1
دوري القسم الثاني-أ,طنطا‏,راية الرياضي,03/1/2024 - 15:30,الجولة الرابعة,انتهت,3 - 0
دوري القسم الثاني-أ,القناة,بتروجيت,03/1/2024 - 15:30,الجولة الرابعة,انتهت,0 - 1
دوري القسم الثاني-أ,حرس الحدود,وادي دجلة,03/1/2024 - 19:00,الجولة الرابعة,انتهت,1 - 1
الدوري التركي,قاسم باشا,سيفاسبور,03/1/2024 - 19:00,الأسبوع الثامن والعشرون,انتهت,0 - 0
الدوري البرتغالي,شافيش,أروكا,03/1/2024 - 22:15,الأسبوع الرابع والعشرون,انتهت,1 - 5
دوري نجوم قطر,السد القطري,نادي قطر,03/1/2024 - 17:00,الأسبوع الخامس عشر,انتهت,3 - 0
دوري نجوم قطر,الدحيل,الغرافة,03/1/2024 - 17:00,الأسبوع الخامس عشر,انتهت,1 - 4
دوري نجوم قطر,العربي,الريان,03/1/2024 - 19:00,الأسبوع الخامس عشر,انتهت,2 - 3
الدوري الإماراتي,خورفكان,شباب الأهلي,03/1/2024 - 15:35,الأسبوع الخامس عشر,انتهت,0 - 3
الدوري الإماراتي,عجمان,نادي الامارات,03/1/2024 - 15:35,الأسبوع الخامس عشر,انتهت,2 - 0
الدوري الإماراتي,الوصل,الشــارقة,03/1/2024 - 18:15,الأسبوع الخامس عشر,انتهت,2 - 0
دوري أبطال إفريقيا,ماميلودي صنداونز,مازيمبي,03/2/2024 - 15:00,الجولة السادسة,انتهت,1 - 0
دوري أبطال إفريقيا,بيراميدز,إف سي نواذيبو,03/2/2024 - 15:00,الجولة السادسة,انتهت,2 - 2
دوري أبطال إفريقيا,الوداد البيضاوي,أسيك أبيدجـــــان,03/2/2024 - 18:00,الجولة السادسة,انتهت,1 - 0
دوري أبطال إفريقيا,سيمبا,جوانينج جالاكسي,03/2/2024 - 18:00,الجولة السادسة,انتهت,6 - 0
دوري أبطال إفريقيا,الترجى الرياضي,الهلال السوداني,03/2/2024 - 21:00,الجولة السادسة,انتهت,1 - 0
دوري أبطال إفريقيا,بترو اتليتكو,النجم الساحلى,03/2/2024 - 21:00,الجولة السادسة,انتهت,2 - 0
الدوري المصري,الإسماعيلي,بلدية المحلة,03/2/2024 - 19:00,الأسبوع الخامس عشر,انتهت,0 - 1
الدوري الإنجليزي,ايفرتون,وست هام يونايتد,03/2/2024 - 17:00,الأسبوع السابع والعشرون,انتهت,1 - 3
الدوري الإنجليزي,نيوكاسل,وولفرهامبتون,03/2/2024 - 17:00,الأسبوع السابع والعشرون,انتهت,3 - 0
الدوري الإنجليزي,توتنهام هوتسبر,كريستال بالاس,03/2/2024 - 17:00,الأسبوع السابع والعشرون,انتهت,3 - 1
الدوري الإنجليزي,فولهام,برايتون,03/2/2024 - 17:00,الأسبوع السابع والعشرون,انتهت,3 - 0
الدوري الإنجليزي,نوتينجهام فورست,ليفربول,03/2/2024 - 17:00,الأسبوع السابع والعشرون,انتهت,0 - 1
الدوري الإنجليزي,برينتفورد,تشيلسي,03/2/2024 - 17:00,الأسبوع السابع والعشرون,انتهت,2 - 2
الدوري الإنجليزي,لوتون تاون,أستون فيلا,03/2/2024 - 19:30,الأسبوع السابع والعشرون,انتهت,2 - 3
الدوري الإسباني,اشبيلية,ريال سوسيداد,03/2/2024 - 15:00,الأسبوع السابع والعشرون,انتهت,3 - 2
الدوري الإسباني,رايو فاييكانو,قادش,03/2/2024 - 17:15,الأسبوع السابع والعشرون,انتهت,1 - 1
الدوري الإسباني,خيتافي,لاس بالماس,03/2/2024 - 19:30,الأسبوع السابع والعشرون,انتهت,3 - 3
الدوري الإسباني,فالنسيا,ريال مدريد,03/2/2024 - 22:00,الأسبوع السابع والعشرون,انتهت,2 - 2
الدوري السعودي,الخليج,الشباب,03/2/2024 - 16:00,الأسبوع الثاني والعشرون,انتهت,0 - 0
الدوري السعودي,ضمك,الاتفـــــاق,03/2/2024 - 16:00,الأسبوع الثاني والعشرون,انتهت,0 - 2
الدوري السعودي,أهلي جدة,الفتح,03/2/2024 - 19:00,الأسبوع الثاني والعشرون,انتهت,1 - 1
الدوري الإيطالي,أودينيزي,ساليرنيتانا,03/2/2024 - 16:00,الأسبوع السابع والعشرون,انتهت,1 - 1
الدوري الإيطالي,مونزا,روما,03/2/2024 - 19:00,الأسبوع السابع والعشرون,انتهت,1 - 4
الدوري الإيطالي,تورينو,فيورنتينا,03/2/2024 - 21:45,الأسبوع السابع والعشرون,انتهت,0 - 0
الدوري الألماني,يونيون برلين,بروسيا دورتموند,03/2/2024 - 16:30,الأسبوع الرابع والعشرون,انتهت,0 - 2
الدوري الألماني,ماينز,مونشنجلادباخ,03/2/2024 - 16:30,الأسبوع الرابع والعشرون,انتهت,1 - 1
الدوري الألماني,بوخوم,لايبزيج,03/2/2024 - 16:30,الأسبوع الرابع والعشرون,انتهت,1 - 4
الدوري الألماني,دارمشتات,أوجسبورج,03/2/2024 - 16:30,الأسبوع الرابع والعشرون,انتهت,0 - 6
الدوري الألماني,هايدنهايم,آ. فرانكفورت,03/2/2024 - 16:30,الأسبوع الرابع والعشرون,انتهت,1 - 2
الدوري الألماني,فولفسبورج,شتوتجارت,03/2/2024 - 19:30,الأسبوع الرابع والعشرون,انتهت,2 - 3
الدوري الفرنسي,ريمس,ليل,03/2/2024 - 18:00,الأسبوع الرابع والعشرون,انتهت,0 - 1
الدوري الفرنسي,كليرمونت,مارسيليا,03/2/2024 - 22:00,الأسبوع الرابع والعشرون,انتهت,1 - 5
الدوري المغربي,اتحاد طنجة,الجيش الملكي,03/2/2024 - 19:00,الأسبوع الثاني والعشرون,انتهت,1 - 2
الدوري المغربي,نهضة الزمامرة,حسنية اغادير,03/2/2024 - 21:00,الأسبوع الثاني والعشرون,انتهت,3 - 0
الدوري التركي,أنقرة جوتشو,إسطنبول سبور,03/2/2024 - 12:30,الأسبوع الثامن والعشرون,انتهت,1 - 1
الدوري التركي,ريزه سبور,قيصري سبور,03/2/2024 - 15:00,الأسبوع الثامن والعشرون,انتهت,3 - 0
الدوري التركي,هاتاي سبور,فنربخشة,03/2/2024 - 18:00,الأسبوع الثامن والعشرون,انتهت,0 - 2
الدوري التونسي,اتحاد تطاوين,قوافل قفصة,03/2/2024 - 15:30,الأسبوع الخامس,انتهت,1 - 0
الدوري التونسي,البنزرتي,سليمان الرياضي,03/2/2024 - 15:30,الأسبوع الخامس,انتهت,2 - 0
الدوري البرتغالي,موريرنسي,ريو آفي,03/2/2024 - 17:30,الأسبوع الرابع والعشرون,انتهت,0 - 0
الدوري البرتغالي,إستوريل,فيتوريا جيماريش,03/2/2024 - 20:00,الأسبوع الرابع والعشرون,انتهت,1 - 3
الدوري البرتغالي,سبورتينج براجا,إستريلا,03/2/2024 - 22:30,الأسبوع الرابع والعشرون,انتهت,3 - 0
الدوري الإماراتي,النصر الإماراتي,بني ياس,03/2/2024 - 15:35,الأسبوع الخامس عشر,انتهت,1 - 0
الدوري الإماراتي,الوحـــدة,الجــزيرة,03/2/2024 - 18:15,الأسبوع الخامس عشر,انتهت,3 - 2
الدوري المصري,إنبي,الاتحاد السكندري,03/3/2024 - 19:00,الأسبوع الخامس عشر,انتهت,1 - 2
الدوري الإنجليزي,بيرنلي,بورنموث,03/3/2024 - 15:00,الأسبوع السابع والعشرون,انتهت,0 - 2
الدوري الإنجليزي,مانشستر سيتي,مانشستر يونايتد,03/3/2024 - 17:30,الأسبوع السابع والعشرون,انتهت,3 - 1
الدوري الإسباني,فياريال,غرناطه,03/3/2024 - 15:00,الأسبوع السابع والعشرون,انتهت,5 - 1
الدوري الإسباني,اتلتيكو مدريد,ريال بيتيس,03/3/2024 - 17:15,الأسبوع السابع والعشرون,انتهت,2 - 1
الدوري الإسباني,مايوركا,جيرونا,03/3/2024 - 19:30,الأسبوع السابع والعشرون,انتهت,1 - 0
الدوري الإسباني,أتلتيك بلباو,برشلونة,03/3/2024 - 22:00,الأسبوع السابع والعشرون,انتهت,0 - 0
الكونفيدرالية الإفريقية,ديابل نوار,سيخوخون يونايتد,03/3/2024 - 15:00,الجولة السادسة,انتهت,0 - 0
الكونفيدرالية الإفريقية,اتحاد العاصمة,سوبر سبورت,03/3/2024 - 18:00,الجولة السادسة,انتهت,2 - 1
الكونفيدرالية الإفريقية,مودرن فيوتشر,الهلال الليبي,03/3/2024 - 18:00,الجولة السادسة,انتهت,5 - 0
الكونفيدرالية الإفريقية,ريفرز يونايتد,دريمز,03/3/2024 - 18:00,الجولة السادسة,انتهت,2 - 1
الكونفيدرالية الإفريقية,الافريقي التونسي,أكاديميكا لوبيتو,03/3/2024 - 18:00,الجولة السادسة,انتهت,1 - 1
الكونفيدرالية الإفريقية,الزمالك,سوار,03/3/2024 - 21:00,الجولة السادسة,مؤجل,- - -
الكونفيدرالية الإفريقية,ساجرادا اسبيرانسا,أبو سليم,03/3/2024 - 21:00,الجولة السادسة,انتهت,3 - 0
الكونفيدرالية الإفريقية,نهضة بركان,ستاد مالي,03/3/2024 - 21:00,الجولة السادسة,انتهت,3 - 0
الدوري الإيطالي,هيلاس فيرونا,ساسولو,03/3/2024 - 13:30,الأسبوع السابع والعشرون,انتهت,1 - 0
الدوري الإيطالي,إمبولي,كالياري,03/3/2024 - 16:00,الأسبوع السابع والعشرون,انتهت,0 - 1
الدوري الإيطالي,فروزينوني,ليتشي,03/3/2024 - 16:00,الأسبوع السابع والعشرون,انتهت,1 - 1
الدوري الإيطالي,أتالانتا,بولونيا,03/3/2024 - 19:00,الأسبوع السابع والعشرون,انتهت,1 - 2
الدوري الإيطالي,نابولي,يوفنتوس,03/3/2024 - 21:45,الأسبوع السابع والعشرون,انتهت,2 - 1
الدوري الألماني,كولن,باير ليفركوزن,03/3/2024 - 16:30,الأسبوع الرابع والعشرون,انتهت,0 - 2
الدوري الألماني,هوفنهايم,فيردر بريمن,03/3/2024 - 18:30,الأسبوع الرابع والعشرون,انتهت,2 - 1
الدوري الفرنسي,تولوز,نيس,03/3/2024 - 14:00,الأسبوع الرابع والعشرون,انتهت,2 - 1
الدوري الفرنسي,بريست,لوهافر,03/3/2024 - 16:00,الأسبوع الرابع والعشرون,انتهت,1 - 0
الدوري الفرنسي,نانت,ميتز,03/3/2024 - 16:00,الأسبوع الرابع والعشرون,انتهت,0 - 2
الدوري الفرنسي,مونبيليه,ستراسبورج,03/3/2024 - 16:00,الأسبوع الرابع والعشرون,انتهت,2 - 2
الدوري الفرنسي,رين,لوريان,03/3/2024 - 18:05,الأسبوع الرابع والعشرون,انتهت,1 - 2
الدوري الفرنسي,ليون,لانس,03/3/2024 - 21:45,الأسبوع الرابع والعشرون,انتهت,0 - 3
الدوري المغربي,الشباب الرياضي السالمي,المغرب التطواني,03/3/2024 - 17:00,الأسبوع الثاني والعشرون,انتهت,1 - 2
الدوري المغربي,الرجاء البيضاوي,أولمبيك آسفي,03/3/2024 - 19:00,الأسبوع الثاني والعشرون,انتهت,1 - 0
الدوري التركي,إسطنبول باشاكشهير,سامسون سبور,03/3/2024 - 12:30,الأسبوع الثامن والعشرون,انتهت,1 - 0
الدوري التركي,بينديكسبور,قونيا سبور,03/3/2024 - 12:30,الأسبوع الثامن والعشرون,انتهت,0 - 2
الدوري التركي,بشكتاش,جالاتا سراي,03/3/2024 - 18:00,الأسبوع الثامن والعشرون,انتهت,0 - 1
الدوري التونسي,النجم الرياضي بالمتلوي,إتحاد بن قردان,03/3/2024 - 15:30,الأسبوع الخامس,انتهت,3 - 1
الدوري التونسي,الأولمبي الباجي,مستقبل المرسى,03/3/2024 - 15:30,الأسبوع الخامس,انتهت,3 - 0
الدوري البرتغالي,بورتيمونينسي,فيزيلا,03/3/2024 - 17:30,الأسبوع الرابع والعشرون,انتهت,0 - 0
الدوري البرتغالي,كازا بيا,جل فيسنتي,03/3/2024 - 17:30,الأسبوع الرابع والعشرون,انتهت,0 - 0
الدوري البرتغالي,سبورتينج لشبونة,فيرنسي,03/3/2024 - 20:00,الأسبوع الرابع والعشرون,انتهت,3 - 2
الدوري البرتغالي,بورتو,بنفيكا,03/3/2024 - 22:30,الأسبوع الرابع والعشرون,انتهت,5 - 0
الدوري الإنجليزي,شيفيلد يونايتد,أرسنال,03/4/2024 - 22:00,الأسبوع السابع والعشرون,انتهت,0 - 6
الدوري الإسباني,أوساسونا,ألافيس,03/4/2024 - 22:00,الأسبوع السابع والعشرون,انتهت,1 - 0
دوري أبطال آسيا,العين,النصر,03/4/2024 - 18:00,ذهاب دور ال8,انتهت,1 - 0
الدوري الإيطالي,إنتر ميلان,جنوى,03/4/2024 - 21:45,الأسبوع السابع والعشرون,انتهت,2 - 1
الدوري التركي,أضنة دمير سبور,فاتح كاراجومروك,03/4/2024 - 16:00,الأسبوع الثامن والعشرون,انتهت,1 - 0
الدوري التركي,ألانيا سبور,طرابزون سبور,03/4/2024 - 19:00,الأسبوع الثامن والعشرون,انتهت,3 - 1
الدوري التركي,انطاليا سبور,غازي عنتاب بي.بي.كي,03/4/2024 - 19:00,الأسبوع الثامن والعشرون,انتهت,1 - 0
الدوري البرتغالي,فاماليكاو,بوافيستا,03/4/2024 - 22:15,الأسبوع الرابع والعشرون,انتهت,1 - 1
الدوري المصري,طلائع الجيش,الداخلية,03/5/2024 - 16:00,الأسبوع الخامس عشر,انتهت,0 - 0
الدوري المصري,المصري,سموحة,03/5/2024 - 19:00,الأسبوع الخامس عشر,انتهت,2 - 0
دوري أبطال أوروبا,بايرن ميونيخ,لاتسيو,03/5/2024 - 22:00,عودة دور ال 16,انتهت,3 - 0
دوري أبطال أوروبا,ريال سوسيداد,باريس سان جيرمان,03/5/2024 - 22:00,عودة دور ال 16,انتهت,1 - 2
دوري أبطال آسيا,تشونبك هيونداي,أولسان هيونداي,03/5/2024 - 12:00,ذهاب دور ال8,انتهت,1 - 1
دوري أبطال آسيا,الهلال,الاتحاد,03/5/2024 - 20:00,ذهاب دور ال8,انتهت,2 - 0
الدوري المغربي,نهضة الزمامرة,الوداد البيضاوي,03/5/2024 - 19:00,الأسبوع العشرون,انتهت,0 - 0
دوري القسم الثاني-أ,مصر المقاصة,بترول أسيوط,03/5/2024 - 15:30,الجولة الرابعة,انتهت,1 - 2
دوري القسم الثاني-أ,أبو قير للاسمدة,مكادي,03/5/2024 - 15:30,الجولة الرابعة,انتهت,2 - 1
دوري القسم الثاني-أ,جمهورية شبين,النصر للتعدين,03/5/2024 - 15:30,الجولة الرابعة,انتهت,2 - 1
دوري القسم الثاني-أ,دكرنس,النجوم,03/5/2024 - 15:30,الجولة الرابعة,انتهت,4 - 0
دوري القسم الثاني-أ,المصرية للاتصالات,أسوان,03/5/2024 - 15:30,الجولة الرابعة,انتهت,1 - 0
الدوري التونسي,الترجى الرياضي,الملعب التونسي,03/5/2024 - 18:00,الأسبوع الأول,انتهت,2 - 0
دوري نجوم قطر,الدحيل,المرخية الرياضي,03/5/2024 - 17:00,الأسبوع السادس عشر,انتهت,0 - 0
دوري نجوم قطر,معيذر,الأهلي القطري,03/5/2024 - 19:00,الأسبوع السادس عشر,انتهت,1 - 1
دوري نجوم قطر,ام صلال,الشمال,03/5/2024 - 19:00,الأسبوع السادس عشر,انتهت,3 - 4
الدوري المصري,بيراميدز,فاركو,03/6/2024 - 19:00,الأسبوع الخامس عشر,انتهت,1 - 1
دوري أبطال أوروبا,ريال مدريد,لايبزيج,03/6/2024 - 22:00,عودة دور ال 16,انتهت,1 - 1
دوري أبطال أوروبا,مانشستر سيتي,كوبنهاجن,03/6/2024 - 22:00,عودة دور ال 16,انتهت,3 - 1
دوري أبطال آسيا,شاندونج تايشان,يوكوهاما مارينوس,03/6/2024 - 12:00,ذهاب دور ال8,انتهت,1 - 2
الدوري الأوروبي,سبورتينج لشبونة,أتالانتا,03/6/2024 - 19:45,ذهاب دور ال 16,انتهت,1 - 1
الدوري المغربي,نهضة بركان,الجيش الملكي,03/6/2024 - 19:00,الأسبوع العشرون,انتهت,1 - 2
دوري القسم الثاني-أ,بروكسي,طنطا‏,03/6/2024 - 15:30,الجولة الخامسة,انتهت,1 - 0
دوري القسم الثاني-أ,وادي دجلة,لافيينا أف سي,03/6/2024 - 15:30,الجولة الخامسة,انتهت,1 - 2
دوري القسم الثاني-أ,السكة الحديد,حرس الحدود,03/6/2024 - 15:30,الجولة الخامسة,انتهت,0 - 0
دوري القسم الثاني-أ,راية الرياضي,القناة,03/6/2024 - 15:30,الجولة الخامسة,انتهت,1 - 0
دوري القسم الثاني-أ,غزل المحلة,بتروجيت,03/6/2024 - 18:00,الجولة الخامسة,انتهت,2 - 2
الدوري التونسي,الصفاقســــي,الافريقي التونسي,03/6/2024 - 18:00,الأسبوع الأول,انتهت,0 - 0
الدوري التونسي,الإتحاد المنستيري,النجم الساحلى,03/6/2024 - 18:00,الأسبوع الأول,انتهت,0 - 0
دوري نجوم قطر,نادي قطر,العربي,03/6/2024 - 17:00,الأسبوع السادس عشر,انتهت,3 - 4
دوري نجوم قطر,الريان,الوكرة,03/6/2024 - 19:00,الأسبوع السادس عشر,انتهت,3 - 0
